timestamp,zone_id,flow_m3_per_hour,pressure_m_head,consumption_m3,is_synthetic_anomaly,anomaly_type
2026-01-01 00:00:00,Z01,56.303,58.114,12.021,False,normal
2026-01-01 00:00:00,Z02,57.306,47.595,12.215,False,normal
2026-01-01 00:00:00,Z03,46.661,49.075,9.935,False,normal
2026-01-01 00:00:00,Z04,60.292,56.072,13.341,False,normal
2026-01-01 00:00:00,Z05,42.99,54.651,9.313,False,normal
2026-01-01 00:00:00,Z06,46.404,45.496,9.563,False,normal
2026-01-01 00:00:00,Z07,42.272,50.001,8.897,False,normal
2026-01-01 00:00:00,Z08,52.28,46.985,11.191,False,normal
2026-01-01 00:00:00,Z09,50.558,48.739,10.889,False,normal
2026-01-01 00:00:00,Z10,44.35,50.582,9.44,False,normal
2026-01-01 00:00:00,Z11,48.659,47.449,10.524,False,normal
2026-01-01 00:00:00,Z12,47.369,48.583,10.362,False,normal
2026-01-01 00:00:00,Z13,53.348,58.443,11.372,False,normal
2026-01-01 00:00:00,Z14,71.572,53.898,15.425,False,normal
2026-01-01 00:00:00,Z15,60.489,54.882,13.253,False,normal
2026-01-01 00:00:00,Z16,40.75,51.733,8.912,False,normal
2026-01-01 00:00:00,Z17,48.444,46.878,10.796,False,normal
2026-01-01 00:00:00,Z18,45.316,47.388,9.786,False,normal
2026-01-01 00:00:00,Z19,56.644,48.778,12.628,False,normal
2026-01-01 00:00:00,Z20,47.213,48.601,10.246,False,normal
2026-01-01 00:15:00,Z01,48.457,57.304,10.523,False,normal
2026-01-01 00:15:00,Z02,57.898,47.772,12.598,False,normal
2026-01-01 00:15:00,Z03,45.04,49.541,9.375,False,normal
2026-01-01 00:15:00,Z04,57.743,54.274,12.846,False,normal
2026-01-01 00:15:00,Z05,45.733,54.379,9.87,False,normal
2026-01-01 00:15:00,Z06,40.786,46.131,8.541,False,normal
2026-01-01 00:15:00,Z07,40.926,51.433,8.59,False,normal
2026-01-01 00:15:00,Z08,54.8,45.254,11.43,False,normal
2026-01-01 00:15:00,Z09,45.017,50.17,9.802,False,normal
2026-01-01 00:15:00,Z10,43.989,50.578,9.634,False,normal
2026-01-01 00:15:00,Z11,43.537,50.454,9.285,False,normal
2026-01-01 00:15:00,Z12,52.148,47.991,11.08,False,normal
2026-01-01 00:15:00,Z13,47.623,58.737,9.803,False,normal
2026-01-01 00:15:00,Z14,66.544,54.934,14.683,False,normal
2026-01-01 00:15:00,Z15,60.505,55.478,13.624,False,normal
2026-01-01 00:15:00,Z16,41.334,54.296,8.834,False,normal
2026-01-01 00:15:00,Z17,53.936,47.028,11.754,False,normal
2026-01-01 00:15:00,Z18,50.904,46.501,11.049,False,normal
2026-01-01 00:15:00,Z19,49.542,49.079,10.803,False,normal
2026-01-01 00:15:00,Z20,51.201,49.733,11.593,False,normal
2026-01-01 00:30:00,Z01,50.259,57.565,10.863,False,normal
2026-01-01 00:30:00,Z02,54.436,47.689,12.042,False,normal
2026-01-01 00:30:00,Z03,47.426,48.615,10.155,False,normal
2026-01-01 00:30:00,Z04,56.544,56.22,12.343,False,normal
2026-01-01 00:30:00,Z05,46.952,54.901,10.19,False,normal
2026-01-01 00:30:00,Z06,46.956,44.824,10.002,False,normal
2026-01-01 00:30:00,Z07,40.524,49.824,8.63,False,normal
2026-01-01 00:30:00,Z08,51.088,46.15,11.198,False,normal
2026-01-01 00:30:00,Z09,45.494,50.445,9.661,False,normal
2026-01-01 00:30:00,Z10,44.403,50.114,9.39,False,normal
2026-01-01 00:30:00,Z11,49.015,49.252,10.448,False,normal
2026-01-01 00:30:00,Z12,49.684,48.816,10.917,False,normal
2026-01-01 00:30:00,Z13,49.874,58.919,10.623,False,normal
2026-01-01 00:30:00,Z14,65.027,53.907,13.833,False,normal
2026-01-01 00:30:00,Z15,66.458,53.582,14.407,False,normal
2026-01-01 00:30:00,Z16,40.557,53.554,8.827,False,normal
2026-01-01 00:30:00,Z17,50.249,45.569,10.893,False,normal
2026-01-01 00:30:00,Z18,51.812,45.826,10.769,False,normal
2026-01-01 00:30:00,Z19,48.477,50.267,10.808,False,normal
2026-01-01 00:30:00,Z20,54.084,47.577,11.617,False,normal
2026-01-01 00:45:00,Z01,53.756,56.985,11.612,False,normal
2026-01-01 00:45:00,Z02,55.629,47.622,12.152,False,normal
2026-01-01 00:45:00,Z03,53.766,48.443,11.425,False,normal
2026-01-01 00:45:00,Z04,56.433,55.653,12.309,False,normal
2026-01-01 00:45:00,Z05,47.383,54.562,10.257,False,normal
2026-01-01 00:45:00,Z06,45.145,44.825,9.689,False,normal
2026-01-01 00:45:00,Z07,41.969,49.358,8.704,False,normal
2026-01-01 00:45:00,Z08,46.482,47.411,10.36,False,normal
2026-01-01 00:45:00,Z09,41.046,49.744,9.366,False,normal
2026-01-01 00:45:00,Z10,44.784,51.312,9.334,False,normal
2026-01-01 00:45:00,Z11,46.719,48.892,10.007,False,normal
2026-01-01 00:45:00,Z12,52.73,47.939,11.365,False,normal
2026-01-01 00:45:00,Z13,48.92,58.662,10.516,False,normal
2026-01-01 00:45:00,Z14,64.563,53.643,14.016,False,normal
2026-01-01 00:45:00,Z15,55.115,55.336,12.365,False,normal
2026-01-01 00:45:00,Z16,42.881,55.145,9.028,False,normal
2026-01-01 00:45:00,Z17,55.753,45.271,11.856,False,normal
2026-01-01 00:45:00,Z18,52.297,46.697,11.513,False,normal
2026-01-01 00:45:00,Z19,53.882,49.941,11.71,False,normal
2026-01-01 00:45:00,Z20,51.584,48.116,11.178,False,normal
2026-01-01 01:00:00,Z01,52.364,58.568,11.39,False,normal
2026-01-01 01:00:00,Z02,56.406,49.033,12.255,False,normal
2026-01-01 01:00:00,Z03,55.444,49.162,11.453,False,normal
2026-01-01 01:00:00,Z04,58.601,55.709,12.729,False,normal
2026-01-01 01:00:00,Z05,46.073,54.171,10.063,False,normal
2026-01-01 01:00:00,Z06,45.271,45.209,9.773,False,normal
2026-01-01 01:00:00,Z07,39.657,50.074,8.451,False,normal
2026-01-01 01:00:00,Z08,50.267,46.401,10.774,False,normal
2026-01-01 01:00:00,Z09,42.413,50.686,9.338,False,normal
2026-01-01 01:00:00,Z10,42.048,51.135,9.182,False,normal
2026-01-01 01:00:00,Z11,45.86,49.256,10.318,False,normal
2026-01-01 01:00:00,Z12,53.078,48.787,11.488,False,normal
2026-01-01 01:00:00,Z13,46.29,59.792,10.253,False,normal
2026-01-01 01:00:00,Z14,60.22,55.017,13.319,False,normal
2026-01-01 01:00:00,Z15,60.339,54.666,13.394,False,normal
2026-01-01 01:00:00,Z16,40.229,53.804,8.668,False,normal
2026-01-01 01:00:00,Z17,50.355,46.181,10.955,False,normal
2026-01-01 01:00:00,Z18,50.806,47.297,11.322,False,normal
2026-01-01 01:00:00,Z19,52.005,49.683,11.719,False,normal
